source,title,content,publish_time,url,symbol_or_subject
第一财经/新闻,A股午盘｜沪指跌近1%再度失守3900点，市场逾4700股下跌,沪深两市半日成交额1.07万亿，较上个交易日缩量1157亿。,2026-04-03 11:44:21,https://www.yicai.com/news/103118170.html,宏观/行业新闻
第一财经/新闻,充电宝新国标出台，什么样的可带上飞机？,既是对消费者合法权益的有力保障，也将全方位提升企业的技术水平。,2026-04-03 11:26:21,https://www.yicai.com/news/103118103.html,宏观/行业新闻
第一财经/新闻,美国将对部分进口药加征100%关税！一年了，特朗普关税政策转向“精准替代”？,高顿-卡拉特利说，随着选民开始关注经济和生活成本，特朗普的民调支持率持续下滑。,2026-04-03 10:57:21,https://www.yicai.com/news/103118002.html,宏观/行业新闻
第一财经/新闻,英伟达4年前的老芯片，租赁价格5个月涨40%,算力需求飙升，旧一代GPU产品供不应求。,2026-04-03 10:45:21,https://www.yicai.com/news/103117973.html,宏观/行业新闻
第一财经/新闻,“自主一哥”之争：一季度吉利9000辆优势险胜,吉利、比亚迪，谁能争得宝座？,2026-04-03 10:45:21,https://www.yicai.com/news/103117951.html,宏观/行业新闻
第一财经/新闻,一个鞍山大家庭的散聚离合，折射东北老工业区70年往事,这不只是一个典型东北老工业家庭的故事，也是一个现代家庭在变动的时代之中，寻找更好相处方式的故事。,2026-04-03 10:45:21,https://www.yicai.com/news/103117872.html,宏观/行业新闻
第一财经/新闻,90后UP主5年走访上千个村镇，发现“进城”的观念变了,“让城市人看得起农村人”并不是最重要的，反而是让农村人自己看得起农村人特别重要。,2026-04-03 10:45:21,https://www.yicai.com/news/103117725.html,宏观/行业新闻
第一财经/新闻,骆驼起源于北美？如何科学地对待外来入侵物种,海关的“严防死守”，在某种程度上是在对抗生命最基本的本能——寻找更合适的生境。,2026-04-03 10:45:21,https://www.yicai.com/news/103117724.html,宏观/行业新闻
第一财经/新闻,A股四大指数集体高开，市场逾3000股上涨,盘面上，CPO、半导体设备、AI算力、存储器、金融科技概念股活跃。,2026-04-03 09:45:21,https://www.yicai.com/news/103117848.html,宏观/行业新闻
第一财经/新闻,封堵啤酒企业避税漏洞，消费税改革今年将启,啤酒生产企业借关联企业操纵价格避税路径被彻底封堵,2026-04-03 09:45:21,https://www.yicai.com/news/103117795.html,宏观/行业新闻
第一财经/新闻,地表最强IPO！SpaceX拟以超2万亿美元估值寻求上市，仅次于五家科技巨头,若成功以上述估值上市，SpaceX的体量将超过标普500指数成分股中除英伟达、苹果、Alphabet、微软和亚马逊以外的所有公司。,2026-04-03 08:45:21,https://www.yicai.com/news/103117708.html,宏观/行业新闻
第一财经/新闻,盘前必读丨工信部启动普惠算力赋能行动；数字人民币运营机构新增12家,机构认为，成长股建仓窗口正在临近。,2026-04-03 08:45:21,https://www.yicai.com/news/103117679.html,宏观/行业新闻
第一财经/新闻,美股涨跌不一，特斯拉重挫5.4%！WTI原油涨超11%！,市场情绪受到中东局势最新进展影响，尤其是围绕霍尔木兹海峡通航问题的消息反复，导致主要股指全天大幅波动。,2026-04-03 07:45:21,https://www.yicai.com/news/103117591.html,宏观/行业新闻
第一财经/新闻,12家银行全新入局，数字人民币运营生态迎新格局,支持更多商业银行成为数字人民币业务运营机构。,2026-04-03 11:45:21,https://www.yicai.com/news/103117353.html,宏观/行业新闻
第一财经/新闻,壹快评｜年报频现“翻车”，上市公司信息披露不能像草台班子,信息披露事关投资者的真金白银，容不得任何马虎,2026-04-03 11:45:21,https://www.yicai.com/news/103117356.html,宏观/行业新闻
第一财经/新闻,新型储能火热背后：虚火与拐点并存,上游涨价与下游内卷，储能行业正迎来秩序重塑的关键节点。,2026-04-03 11:45:21,https://www.yicai.com/news/103117400.html,宏观/行业新闻
第一财经/新闻,三大多资产指数系列将发布，股债恒定比例配置,采用“核心宽基/红利指数+优质信用债指数”模式，设置五档股债配置比例。,2026-04-03 11:45:21,https://www.yicai.com/news/103117346.html,宏观/行业新闻
第一财经/新闻,1.53万亿元ETF调仓拆解，“国家队”进退之间有何玄机？,万亿ETF账本里的“节奏感”：去年默默扫货，开年悄悄减仓,2026-04-03 11:45:21,https://www.yicai.com/news/103117379.html,宏观/行业新闻
第一财经/新闻,美伊互放狠话，大宗商品巨震！“油价停战也回不到65美元”,地缘风险正在重构市场定价逻辑，“快进快出”成为主导交易行为。,2026-04-03 11:45:21,https://www.yicai.com/news/103117372.html,宏观/行业新闻
第一财经/新闻,广州叹早茶新姿势：事关茶位费和预制菜，新规五一起实施,点心是否现制都得明示，收茶位费得提供对应服务。,2026-04-03 11:45:21,https://www.yicai.com/news/103117348.html,宏观/行业新闻
